name,url,industry,social page,location,founded,size
GCL Solicitors LLP,http://www.gclsols.com,Law Practice,https://www.linkedin.com/company/4033956,Guildford. England. United Kingdom,1970,51-200
Cleaver Fulton Rankin Solicitors,http://www.cleaverfultonrankin.co.uk,Law Practice,https://www.linkedin.com/company/1122993,Belfast. Northern Ireland. United Kingdom,1893,51-200
Hunt & Coombs Solicitors,http://www.hcsolicitors.co.uk,Law Practice,https://www.linkedin.com/company/1876535,Peterborough. England. United Kingdom,1934,51-200
Morecrofts LLP,http://www.morecrofts.co.uk,Law Practice,https://www.linkedin.com/company/850697,Liverpool. England. United Kingdom,1813,51-200
Allan McDougall Solicitors,http://www.allanmcdougall.co.uk,Law Practice,https://www.linkedin.com/company/2699982,Edinburgh. Scotland. United Kingdom,1928,51-200
Holmes & Hills Solicitors,http://www.holmes-hills.co.uk,Law Practice,https://www.linkedin.com/company/907770,Marks Tey. England. United Kingdom,,51-200
Cunningtons LLP,https://cunningtons.co.uk,Law Practice,https://www.linkedin.com/company/2640963,Braintree. England. United Kingdom,1748,51-200
Porter Dodson LLP,http://www.porterdodson.co.uk,Law Practice,https://www.linkedin.com/company/348250,Yeovil. England. United Kingdom,1997,51-200
Backhouse Jones Solicitors,http://www.backhousejones.co.uk/,Law Practice,https://www.linkedin.com/company/2224415,Barrow. England. United Kingdom,1999,51-200
Edward Hands & Lewis Solicitors,http://www.ehlsolicitors.co.uk,Law Practice,https://www.linkedin.com/company/1330813,Nottingham. England. United Kingdom,1897,51-200
Goodman Ray,http://www.goodmanray.com,Law Practice,https://www.linkedin.com/company/2182097,London. England. United Kingdom,,51-200
Attwaters Jameson Hill Solicitors,http://www.attwatersjamesonhill.co.uk,Law Practice,https://www.linkedin.com/company/535586,Blackfriars. England. United Kingdom,1901,51-200
Slater Heelis,http://www.slaterheelis.co.uk,Law Practice,https://www.linkedin.com/company/348432,Sale. England. United Kingdom,1773,51-200
PARKER RHODES HICKMOTTS SOLICITORS,http://prhsolicitors.co.uk,Law Practice,https://www.linkedin.com/company/5881191,Rotherham. England. United Kingdom,1895,51-200
BHP Law,http://www.bhplaw.co.uk,Law Practice,https://www.linkedin.com/company/1322699,Belmont Industrial Estate. England. United Kingdom,1835,51-200
Harris Cartier Solicitors,www.hclaw.co.uk,Law Practice,https://www.linkedin.com/company/101620,Slough. United Kingdom,1922,51-200
Poppleston Allen,https://www.popall.co.uk/,Law Practice,https://www.linkedin.com/company/396209,Nottingham. England. United Kingdom,1994,51-200
Pryers Solicitors LLP,https://www.pryers.co.uk,Law Practice,https://www.linkedin.com/company/2263672,York. England. United Kingdom,2002,51-200
Bray & Bray,http://www.braybray.co.uk,Law Practice,https://www.linkedin.com/company/793737,Leicester. England. United Kingdom,1893,51-200
Anthony Gold,http://www.anthonygold.co.uk,Law Practice,https://www.linkedin.com/company/137768,London. England. United Kingdom,1963,51-200
Boys and Maughan Solicitors,http://www.boysandmaughan.co.uk,Law Practice,https://www.linkedin.com/company/549453,Margate. England. United Kingdom,1803,51-200
Swayne Johnson Solicitors,http://www.swaynejohnson.com,Law Practice,https://www.linkedin.com/company/2059781,Denbigh. Wales. United Kingdom,,51-200
The Partnership,http://www.thepartnershiplimited.com,Law Practice,https://www.linkedin.com/company/2281994,Guildford. England. United Kingdom,2009,51-200
Beale & Co,http://www.beale-law.com,Law Practice,https://www.linkedin.com/company/1109918,Blackfriars. England. United Kingdom,1838,51-200
Pepperells Solicitors,http://www.pepperells.com,Law Practice,https://www.linkedin.com/company/889454,Hull. England. United Kingdom,1985,51-200
Fridays Property Lawyers,http://www.conveyancingprocess.com,Law Practice,https://www.linkedin.com/company/510146,Grays Inn. England. United Kingdom,,51-200
Sheridans,http://www.sheridans.co.uk,Law Practice,https://www.linkedin.com/company/122802,Strand. England. United Kingdom,1956,51-200
Howe and Co,http://howe.co.uk,Law Practice,https://www.linkedin.com/company/2907812,Ealing. England. United Kingdom,1991,51-200
IBB - Turbervilles,http://www.ibblaw.co.uk,Law Practice,https://www.linkedin.com/company/501060,Capital Court. 30 Windsor Street. Uxbridge. Middlesex. UB8 1AB,1998,51-200
Slade Legal,http://www.slade-legal.co.uk,Law Practice,https://www.linkedin.com/company/2386883,Abingdon. England. United Kingdom,1971,51-200
Martin Tolhurst Solicitors,http://www.martintolhurst.co.uk,Law Practice,https://www.linkedin.com/company/1235316,Gravesend. England. United Kingdom,1886,51-200
EIP,http://www.eip.com,Law Practice,https://www.linkedin.com/company/270143,London. England. United Kingdom,2000,51-200
Greenberg Traurig London,http://www.gtlaw.com/Locations/London,Law Practice,https://www.linkedin.com/company/1679209,South Bank. England. United Kingdom,2009,51-200
Goldsmith Chambers,http://www.goldsmithchambers.com,Law Practice,https://www.linkedin.com/company/433634,United Kingdom,,51-200
Guildhall Chambers,http://www.guildhallchambers.co.uk,Law Practice,https://www.linkedin.com/company/825767,Bristol. England. United Kingdom,1971,51-200
Stone Rowe Brewer,http://www.srb.co.uk,Law Practice,https://www.linkedin.com/company/2410872,London. England. United Kingdom,1976,51-200
Gullands Solicitors,http://www.gullands.com/,Law Practice,https://www.linkedin.com/company/846070,Maidstone. England. United Kingdom,1910,51-200
Watson Burton LLP,http://www.watsonburton.com,Law Practice,https://www.linkedin.com/company/108791,United Kingdom,,51-200
FDR Law,http://www.fdrlaw.co.uk,Law Practice,https://www.linkedin.com/company/788952,Warrington. England. United Kingdom,,51-200
Simons Muirhead Burton LLP,https://www.smb.london/,Law Practice,https://www.linkedin.com/company/148928,West End. England. United Kingdom,1971,51-200
hlw Keeble Hawson LLP,https://www.hlwkeeblehawson.co.uk/,Law Practice,https://www.linkedin.com/company/690067,Sheffield. United Kingdom,1916,51-200
Capital Law Ltd,http://www.capital-law.co.uk,Law Practice,https://www.linkedin.com/company/89691,Cardiff. Wales. United Kingdom,1992,51-200
Blackfords LLP,http://www.blackfords.com,Law Practice,https://www.linkedin.com/company/2777952,Blackfriars. England. United Kingdom,1952,51-200
Hay & Kilner Law Firm,https://www.hay-kilner.co.uk,Law Practice,https://www.linkedin.com/company/351958,Newcastle upon Tyne. England. United Kingdom,1946,51-200
Rawlison Butler LLP,http://www.rawlisonbutler.com,Law Practice,https://www.linkedin.com/company/128844,Crawley. England. United Kingdom,,51-200
Machins Solicitors LLP,http://www.machins.co.uk,Law Practice,https://www.linkedin.com/company/5545694,Luton. England. United Kingdom,1920,51-200
Gaby Hardwicke Solicitors,http://www.gabyhardwicke.co.uk,Law Practice,https://www.linkedin.com/company/773164,Eastbourne. England. United Kingdom,1889,51-200
berg - merged with Kennedys,http://www.kennedyslaw.com,Law Practice,https://www.linkedin.com/company/137857,Manchester. England. United Kingdom,1980,51-200
Willans LLP. solicitors,https://www.willans.co.uk,Law Practice,https://www.linkedin.com/company/690187,Cheltenham. England. United Kingdom,1947,51-200
Tilly Bailey & Irvine Law Firm,http://www.tbilaw.co.uk/,Law Practice,https://www.linkedin.com/company/445488,Hartlepool. England. United Kingdom,1842,51-200
Hatten Wyatt Solicitors & Advocates,http://www.hatten-wyatt.com,Law Practice,https://www.linkedin.com/company/2406144,Gravesend. England. United Kingdom,1844,51-200
Blandy & Blandy Solicitors,https://www.blandy.co.uk,Law Practice,https://www.linkedin.com/company/746407,Reading. England. United Kingdom,1733,51-200
GRM Law,http://www.grm.co.uk,Law Practice,https://www.linkedin.com/company/1827145,1 Bedford Row. London. WC1R 4BZ,1784,51-200
FLETCHER DAY,http://www.fletcherday.co.uk,Law Practice,https://www.linkedin.com/company/1467648,Saint Paul’s. England. United Kingdom,2009,51-200
Else Solicitors LLP,http://elselaw.co.uk,Law Practice,https://www.linkedin.com/company/229880,Centrum One Hundred. England. United Kingdom,2003,51-200
Sherrards,http://www.sherrards.com,Law Practice,https://www.linkedin.com/company/122807,Fleet Street. England. United Kingdom,,51-200
BPE Solicitors LLP,http://www.bpe.co.uk,Law Practice,https://www.linkedin.com/company/35779,Cheltenham. England. United Kingdom,,51-200
EMW Law LLP,http://www.emwllp.com,Law Practice,https://www.linkedin.com/company/1619820,Knowlhill. England. United Kingdom,,51-200
EBR ATTRIDGE LLP | One of the Largest Expert Criminal Defence Lawyers in London. South-East & Essex,http://www.ebrattridge.com,Law Practice,https://www.linkedin.com/company/4984885,Tottenham. England. United Kingdom,1982,51-200
McKees,http://www.mckees-law.com,Law Practice,https://www.linkedin.com/company/2393954,Belfast. Northern Ireland. United Kingdom,1887,51-200
Rosling King LLP,http://www.rkllp.com,Law Practice,https://www.linkedin.com/company/3354287,Blackfriars. England. United Kingdom,,51-200
Verisona Law,http://www.verisonalaw.com,Law Practice,https://www.linkedin.com/company/1097737,Waterlooville. England. United Kingdom,2008,51-200
Goughs Solicitors,http://www.goughs.co.uk,Law Practice,https://www.linkedin.com/company/1004171,Chippenham. England. United Kingdom,1882,51-200
Harold Benjamin,http://www.haroldbenjamin.com,Law Practice,https://www.linkedin.com/company/1123321,Harrow. England. United Kingdom,1953,51-200
RadcliffesLeBrasseur LLP,http://www.rlb-law.com,Law Practice,https://www.linkedin.com/company/60700,Fleet Street. England. United Kingdom,1844,51-200
Cartmell Shepherd,https://www.cartmells.co.uk/,Law Practice,https://www.linkedin.com/company/2272245,Carlisle. England. United Kingdom,1989,51-200
The Endeavour Partnership,http://endeavour.law,Law Practice,https://www.linkedin.com/company/495884,Thornaby-on-Tees. England. United Kingdom,1999,51-200
